Gene_names	 dn/ds
YNR031C	0.0217
YNL076W	0.1044
YDR279W	0.1791
YER028C	0.3554
YLR451W	0.0602
YDL208W	0.0270
YDL175C	0.0899
YCR068W	0.1024
YER089C	0.0367
YHR029C	0.1633
YNL262W	0.0398
YNR006W	0.1235
YER130C	0.0703
YGR171C	0.0860
YKL082C	0.0693
YOL065C	0.1112
YBR072W	0.0365
YMR242C	0.2077
YBR158W	0.0721
YNL281W	0.0453
YDR329C	0.0697
YIR010W	0.0531
YDL077C	0.0504
YBL078C	0.0090
YGL250W	0.0950
YKR070W	0.0488
YLR003C	0.1375
YNL163C	0.0558
YKL137W	0.0484
YML015C	0.0481
YMR157C	0.1368
YDR161W	0.0498
YKL038W	0.0728
YBR112C	0.0909
YER085C	0.1873
YMR155W	0.1099
YMR084W	0.1584
YKR049C	0.0196
YMR054W	0.0274
YMR055C	0.0153
YER001W	0.1158
YLR057W	0.1554
YBL099W	0.0060
YPR167C	0.0193
YGL063W	0.1156
YGR207C	0.0481
YNR038W	0.1126
YER006W	0.0476
YLR375W	0.0366
YGL212W	0.0764
YPL203W	0.0232
YNL106C	0.1062
YDR272W	0.0822
YJR140C	0.0519
YBR239C	0.0496
YPL186C	0.2011
YHR048W	0.0709
YAR002W	0.1756
YOR165W	0.0574
YGL087C	0.0315
YNR036C	0.0292
YPL147W	0.0338
YOR357C	0.0420
YDR229W	0.0551
YIL126W	0.0419
YPR098C	0.0837
YHR178W	0.0548
YDR055W	0.0638
YLR361C	0.1619
YLR257W	0.0411
YPL105C	0.1348
YML037C	0.2049
YPL001W	0.1157
YOR129C	0.1284
YGR058W	0.0540
YMR235C	0.0343
YOR092W	0.0510
YGR091W	0.1609
YHL016C	0.0173
YEL058W	0.0652
YJL212C	0.0213
YNL015W	0.0148
YPR046W	0.1624
YDR104C	0.1211
YBR028C	0.0503
YMR306W	0.0380
YCR021C	0.0641
YNL260C	0.1192
YGL225W	0.0330
YIR030C	0.1288
YML087C	0.0623
YLR085C	0.0499
YCR036W	0.1082
YNL111C	0.0434
YGR250C	0.0546
YNL079C	0.0605
YOR223W	0.0514
YDL201W	0.0216
YBL068W	0.0102
YGL104C	0.0560
YNL309W	0.0753
YOR035C	0.1006
YPR058W	0.0594
YHR074W	0.0267
YGL231C	0.0796
YMR125W	0.0490
YPL017C	0.1548
YLR371W	0.0362
YIL045W	0.0746
YDR214W	0.0674
YOR174W	0.0919
YEL041W	0.1042
YER095W	0.0202
YML079W	0.0511
YLL022C	0.1485
YJL118W	0.1454
YKL077W	0.1410
YIL139C	0.0683
YBR162C	0.0357
YGL166W	0.2880
YDL109C	0.1438
YDR247W	0.0983
YKL186C	0.0422
YGL049C	0.0775
YMR243C	0.0251
YPR119W	0.0468
YBR050C	0.1602
YHR026W	0.0286
YMR081C	0.0706
YKL020C	0.0817
YJR050W	0.0979
YKL159C	0.0891
YER132C	0.1178
YPL252C	0.0431
YCL057W	0.0507
YLR046C	0.2186
YJL126W	0.1639
YJL087C	0.1068
YMR187C	0.1046
YHL007C	0.0711
YGR124W	0.0196
YHR133C	0.0831
YOR074C	0.0388
YDR003W	0.0691
YFR007W	0.1251
YHR201C	0.1163
YDL165W	0.0074
YEL034W	0.0447
YKR031C	0.0581
YGR129W	0.1104
YHL030W	0.0883
YPL004C	0.0292
YPL003W	0.1430
YOR177C	0.0778
YDR182W	0.1372
YGL111W	0.1619
YMR090W	0.0590
YPR155C	0.0719
YOR178C	0.1033
YFL005W	0.0060
YPL069C	0.0594
YMR265C	0.1784
YBR037C	0.0354
YKL088W	0.0719
YJL110C	0.1319
YOL114C	0.2347
YPR084W	0.0770
YBR207W	0.0732
YDR170C	0.0439
YIL055C	0.1006
YKL010C	0.0806
YDR270W	0.1036
YJL060W	0.0185
YDR116C	0.0464
YGR003W	0.1174
YIL034C	0.0711
YAL048C	0.0249
YIL144W	0.0529
YPR163C	0.0615
YPL221W	0.0400
YDR202C	0.0364
YGR053C	0.1462
YNL094W	0.0768
YKL151C	0.0231
YLL002W	0.1469
YKR065C	0.0364
YLR026C	0.0467
YER177W	0.0045
YGL001C	0.0317
YKL008C	0.0034
YPL146C	0.1009
YBR273C	0.1049
YCR053W	0.0149
YBR204C	0.1338
YNL066W	0.0889
YAL044C	0.0702
YBR148W	0.1804
YDR529C	0.0366
YLR353W	0.1808
YPL011C	0.0390
YDR243C	0.0936
YGR019W	0.0513
YJL154C	0.0466
YPL249C	0.2103
YOR113W	0.0993
YOR332W	0.0261
YDL001W	0.0400
YGL253W	0.0065
YPR158W	0.1703
YKL034W	0.0355
YNR015W	0.0622
YKL215C	0.0446
YBR079C	0.0333
YER032W	0.2115
YBR214W	0.0255
YBR173C	0.0795
YPR105C	0.0547
YLR410W	0.0320
YJL155C	0.0430
YPL108W	0.1160
YMR276W	0.0734
YKR001C	0.0203
YOR270C	0.0203
YGR247W	0.0323
YER172C	0.0946
YDL053C	0.1094
YCR065W	0.0705
YDR370C	0.2307
YLR369W	0.0435
YJR004C	0.3327
YIL097W	0.0969
YNL221C	0.1179
YGR168C	0.1964
YNL320W	0.0354
YDR334W	0.0741
YDR281C	0.1483
YDL146W	0.0646
YNL103W	0.1022
YNL305C	0.0273
YIR022W	0.0234
YCR076C	0.1693
YDL102W	0.0173
YOR229W	0.0446
YDR496C	0.0577
YGL247W	0.1510
YPL097W	0.1197
YIR029W	0.0718
YDR357C	0.0466
YOR160W	0.0521
YOR005C	0.1306
YOL080C	0.1334
YOR257W	0.0038
YPR109W	0.0766
YDL091C	0.0694
YOR322C	0.0799
YNL207W	0.0388
YHR118C	0.0905
YLR099W-A	0.0786
YJR147W	0.1651
YOR078W	0.1350
YNL003C	0.0325
YBR289W	0.0495
YDR186C	0.0575
YNL107W	0.0966
YER011W	0.2098
YER017C	0.0384
YGR211W	0.0226
YJL111W	0.0180
YOR355W	0.0717
YJL196C	0.0806
YGR047C	0.0273
YGL171W	0.0608
YGR148C	0.0362
YDR375C	0.0300
YBR157C	0.1826
YJR084W	0.0881
YPL109C	0.0344
YBR212W	0.0993
YPL154C	0.0243
YBR260C	0.0330
YNL295W	0.0890
YDL202W	0.0915
YLR383W	0.0323
YHR090C	0.0371
YPL122C	0.0125
YBR180W	0.0865
YDL112W	0.1114
YDR293C	0.0278
YNL291C	0.0612
YDR058C	0.0158
YBR213W	0.0860
YNL277W	0.0283
YPL177C	0.0964
YDL110C	0.0709
YDR212W	0.0085
YOR176W	0.0382
YMR226C	0.0206
YNL124W	0.1139
YCR014C	0.1644
YML078W	0.0261
YCR079W	0.0638
YLR308W	0.0551
YLR413W	0.0891
YBL091C	0.0465
YGR013W	0.1563
YCR023C	0.0813
YOR244W	0.0248
YKR098C	0.0967
YML080W	0.0503
YCR094W	0.0618
YPL028W	0.0205
YGR134W	0.1492
YCR069W	0.1130
YHR031C	0.0592
YNL181W	0.0627
YLR285W	0.0559
YDR438W	0.1882
YKL117W	0.0131
YKR055W	0.0726
YGL066W	0.0897
YJL159W	0.2798
YBR177C	0.0904
YPR113W	0.0171
YJR065C	0.0081
YFR010W	0.0351
YKR066C	0.0241
YOL015W	0.2443
YJL165C	0.0460
YHR092C	0.0828
YML082W	0.0418
YML099C	0.0500
YOR033C	0.1038
YCR075C	0.0921
YBR029C	0.0174
YLR084C	0.1045
YLR312W-A	0.2723
YGR026W	0.0602
YPR097W	0.0744
YAL001C	0.0967
YMR053C	0.0749
YER100W	0.0306
YGR090W	0.0690
YAL041W	0.0291
YBR035C	0.0038
YJL062W	0.0695
YJR011C	0.0599
YDL156W	0.0505
YDR030C	0.0986
YDR266C	0.0719
YNL280C	0.0320
YDR089W	0.0646
YLR225C	0.0334
YHR106W	0.0560
YMR117C	0.0467
YAL003W	0.2200
YLR390W-A	0.3046
YHR193C	0.0147
YDR035W	0.0060
YMR313C	0.0279
YMR263W	0.0377
YPL220W	0.0152
YMR118C	0.1575
YDR074W	0.0134
YLR431C	0.1078
YLR354C	0.0419
YDL098C	0.0769
YBR247C	0.0276
YJL094C	0.0431
YOR246C	0.0405
YGR048W	0.0335
YNL183C	0.0257
YLR226W	0.0508
YGR204W	0.0175
YDL090C	0.1121
YDR505C	0.0744
YMR189W	0.0660
YLR220W	0.0360
YKR083C	0.1087
YBL105C	0.0514
YNL080C	0.0484
YEL065W	0.0430
YKL116C	0.0981
YGR277C	0.0673
YGR078C	0.0281
YPR157W	0.0827
YKL108W	0.1449
YPL086C	0.0076
YOR017W	0.1131
YIL047C	0.0282
YOR003W	0.1291
YJL042W	0.0593
YCL033C	0.1002
YJL194W	0.0681
YMR212C	0.0465
YER111C	0.0712
YLR253W	0.0374
YFR048W	0.0591
YDR264C	0.0640
YDL203C	0.0835
YKL048C	0.1467
YPL263C	0.0297
YML071C	0.1646
YLR208W	0.0162
YBR085C-A	0.0245
YDL204W	0.0999
YDR042C	0.3122
YKL041W	0.0361
YHR105W	0.0782
YMR068W	0.0745
YER067W	0.0267
YBR196C	0.0025
YDR358W	0.1716
YHR153C	0.1977
YHR129C	0.0665
YER092W	0.1023
YPR116W	0.2103
YAL025C	0.0233
YGL126W	0.1091
YOR272W	0.0288
YOL016C	0.0597
YDR227W	0.3831
YDR452W	0.0949
YJL158C	0.1344
YBL080C	0.1022
YJR014W	0.0369
YLR116W	0.0754
YPR033C	0.0747
YIR033W	0.0675
YHR089C	0.0864
YDR516C	0.0062
YPR134W	0.2407
YDR265W	0.1990
YKL042W	0.0748
YKL194C	0.0553
YOR137C	0.0721
YLR199C	0.1783
YGL248W	0.0411
YML052W	0.0479
YDR511W	0.0542
YOL048C	0.0244
YJL106W	0.0419
YLR099C	0.0202
YJL146W	0.0536
YOL133W	0.0373
YHR170W	0.0131
YIL125W	0.0140
YAL005C	0.0378
YGR212W	0.1540
YKL096W	0.1244
YLR357W	0.0366
YDL064W	0.0249
YMR094W	0.1371
YMR032W	0.0821
